Time,Strain
1126259462.6987305,-0.13457011173344602
1126259462.6989746,-0.012282715604630678
1126259462.6992188,0.10191151178411573
1126259462.699463,0.16964360341088391
1126259462.699707,0.16563642898410103
1126259462.6999512,0.0847691721076541
1126259462.7001953,-0.05615725582480929
1126259462.7004395,-0.22249779031397116
1126259462.7006836,-0.3706661365655956
1126259462.7009277,-0.4595149521602891
1126259462.7011719,-0.4611345613593443
1126259462.701416,-0.3681535861407188
1126259462.7016602,-0.19560444706186156
1126259462.7019043,0.023045340047523163
1126259462.7021484,0.2444618436673136
1126259462.7023926,0.4261465709773885
1126259462.7026367,0.5363346149506011
1126259462.7028809,0.5605521036915395
1126259462.703125,0.5033931061005876
1126259462.7033691,0.38549318883022576
1126259462.7036133,0.2369718335045082
1126259462.7038574,0.08942776034216195
1126259462.7041016,-0.03128035401415047
1126259462.7043457,-0.10971893633258079
1126259462.7045898,-0.14219033472479947
1126259462.704834,-0.13486076216893012
1126259462.7050781,-0.09974857464856082
1126259462.7053223,-0.05007217377249284
1126259462.7055664,0.0035628612480205143
1126259462.7058105,0.055095984581628545
1126259462.7060547,0.10272171945749722
1126259462.7062988,0.1467907579596703
1126259462.706543,0.1869130059945182
1126259462.706787,0.21954161410626172
1126259462.7070312,0.23716830831667524
1126259462.7072754,0.22972302490255336
1126259462.7075195,0.18798915917177922
1126259462.7077637,0.10804791498068263
1126259462.7080078,-0.004792423229934881
1126259462.708252,-0.1342303038196468
1126259462.708496,-0.25456573357391366
1126259462.7087402,-0.33591321237990623
1126259462.7089844,-0.35209131387036857
1126259462.7092285,-0.28914755338007503
1126259462.7094727,-0.1518625944123393
1126259462.7097168,0.03425472094068148
1126259462.709961,0.22693166622769972
1126259462.710205,0.37679155275689735
1126259462.7104492,0.4405292368276237
1126259462.7106934,0.39393893279515113
1126259462.7109375,0.240672317456335
1126259462.7111816,0.013484474641307947
1126259462.7114258,-0.23318523679613484
1126259462.71167,-0.43773519799821675
1126259462.711914,-0.5490018275541635
1126259462.7121582,-0.541584053721253
1126259462.7124023,-0.4239028483195921
1126259462.7126465,-0.23607777030778496
1126259462.7128906,-0.037890302338939696
1126259462.7131348,0.10961843811371479
1126259462.713379,0.16312794438954187
1126259462.713623,0.11043535773197358
1126259462.7138672,-0.026186106438598505
1126259462.7141113,-0.19785152856961608
1126259462.7143555,-0.3455877954096234
1126259462.7145996,-0.42002042450271115
1126259462.7148438,-0.39764533817420217
1126259462.715088,-0.28827003376438454
1126259462.715332,-0.1312223734720021
1126259462.7155762,0.018257415071566252
1126259462.7158203,0.10772974142390213
1126259462.7160645,0.10501732378811765
1126259462.7163086,0.00860849000682902
1126259462.7165527,-0.15228815300293777
1126259462.7167969,-0.3277487319930026
1126259462.717041,-0.46352577546139406
1126259462.7172852,-0.5181275380430133
1126259462.7175293,-0.4748805591052441
1126259462.7177734,-0.34522833363955385
1126259462.7180176,-0.16269717132320943
1126259462.7182617,0.029794893653295712
1126259462.7185059,0.1944518410073216
1126259462.71875,0.3097652258493608
1126259462.7189941,0.37469883212309346
1126259462.7192383,0.40503415113409524
1126259462.7194824,0.42395468726076463
1126259462.7197266,0.4509486610456162
1126259462.7199707,0.4934695153701908
1126259462.7202148,0.5444476417521413
1126259462.720459,0.5862780742548415
1126259462.7207031,0.5993078918471799
1126259462.7209473,0.5711239681015063
1126259462.7211914,0.502740571697591
1126259462.7214355,0.40914450356324733
1126259462.7216797,0.3139991158968269
1126259462.7219238,0.2406865549088359
1126259462.722168,0.2033324956128738
1126259462.722412,0.20144231283934674
1126259462.7226562,0.22031482097956678
1126259462.7229004,0.23709572053789435
1126259462.7231445,0.2301102145916839
1126259462.7233887,0.18783745085645692
1126259462.7236328,0.11403139633916604
1126259462.723877,0.02696954214619232
1126259462.724121,-0.04696351802148918
1126259462.7243652,-0.08302454925689128
1126259462.7246094,-0.067619354335116
1126259462.7248535,-0.0040823990320360964
1126259462.7250977,0.08740468723052877
1126259462.7253418,0.1757817270267614
1126259462.725586,0.22890557969151848
1126259462.72583,0.22379308340907308
1126259462.7260742,0.1538322647744582
1126259462.7263184,0.03061168898383268
1126259462.7265625,-0.12005520189823743
1126259462.7268066,-0.2663177865772773
1126259462.7270508,-0.3797172431436674
1126259462.727295,-0.4426274848564737
1126259462.727539,-0.4513998387999335
1126259462.7277832,-0.4146244666969672
1126259462.7280273,-0.3477670567254524
1126259462.7282715,-0.2666962855838528
1126259462.7285156,-0.18281338460714264
1126259462.7287598,-0.10158219545855475
1126259462.729004,-0.02463157450971859
1126259462.729248,0.04605450790345386
1126259462.7294922,0.10432708610677963
1126259462.7297363,0.13878230498959898
1126259462.7299805,0.13550994487151066
1126259462.7302246,0.08397247833242408
1126259462.7304688,-0.016349779951270696
1126259462.730713,-0.15165327973796539
1126259462.730957,-0.29438116384277757
1126259462.7312012,-0.4094594368627433
1126259462.7314453,-0.46470974912178853
1126259462.7316895,-0.44203180181754054
1126259462.7319336,-0.34520229012676384
1126259462.7321777,-0.20095542259771304
1126259462.7324219,-0.05219766910544113
1126259462.732666,0.05496984217691274
1126259462.7329102,0.08631984810194798
1126259462.7331543,0.03146527359382331
1126259462.7333984,-0.09172441192121866
1126259462.7336426,-0.24227827368625476
1126259462.7338867,-0.36955504549083457
1126259462.7341309,-0.4306099463189709
1126259462.734375,-0.40550720502894855
1126259462.7346191,-0.30500789573683373
1126259462.7348633,-0.1675119505375557
1126259462.7351074,-0.045838554157572514
1126259462.7353516,0.011878549261597593
1126259462.7355957,-0.01944073574300806
1126259462.7358398,-0.13089246249320624
1126259462.736084,-0.2804681889971923
1126259462.7363281,-0.40610069543852884
1126259462.7365723,-0.44689450499748284
1126259462.7368164,-0.36544024295914684
1126259462.7370605,-0.16337511092484158
1126259462.7373047,0.11564555884456407
1126259462.7375488,0.3972658860663454
1126259462.737793,0.5988537495833078
1126259462.738037,0.6559087680055613
1126259462.7382812,0.5437341266184639
1126259462.7385254,0.28700958813523153
1126259462.7387695,-0.04619739201139911
1126259462.7390137,-0.36430557071287684
1126259462.7392578,-0.5796678950333116
1126259462.739502,-0.6347415327802198
1126259462.739746,-0.5185572188277175
1126259462.7399902,-0.2683243975124052
1126259462.7402344,0.044016945333409406
1126259462.7404785,0.33550224398891404
1126259462.7407227,0.5380183837944493
1126259462.7409668,0.6177703628053974
